model,sigma0,t,w,maxForce,meanForce,Damage,Plasticity
85.0,192.20220067890773,2.5693665423156586,72.80591020195988,161.92,74.91108078778973,0.0363354037267,0.68933747412
86.0,211.07853113046062,1.5060839747853954,76.68735885264033,177.55209375,81.31829884668494,0.04296400187,0.67386629266
87.0,218.6129156042574,3.307477467559616,71.46829608653547,172.525703125,80.33208950097827,0.0413043478261,0.687215320911
88.0,186.18506484982692,4.184398775797337,62.86442545490696,140.320203125,80.95351303224683,0.0420893719807,0.724698067633
89.0,208.19573051967393,2.3181468816274062,96.84469393729842,198.937890625,82.97770434580329,0.0309550353029,0.648717948718
90.0,199.98808239405108,3.402493860787263,76.30148793786445,170.825875,77.1421813434138,0.0350824587706,0.656471764118
91.0,185.2773625792895,1.1145837718613665,68.50543167697948,153.753609375,73.56700064956514,0.0401502952228,0.717713365539
92.0,208.80910787532778,4.41528413383034,89.56237239053915,188.118171875,83.93064798123986,0.0303933747412,0.71751552795
93.0,217.71403645423385,1.2263722306529057,77.18436260758874,182.531578125,82.86170769528508,0.0456755493221,0.679850397382
94.0,215.77027001163552,3.089214048426241,87.70590068350936,191.531046875,86.43201792371683,0.0343271221532,0.74248447205
95.0,202.20776298815463,1.534631763228536,99.84539241567455,202.459109375,81.62765695260765,0.0307246376812,0.629601449275
96.0,223.86490252503927,3.0416112357763985,66.79160722720174,168.592171875,81.99036757154018,0.0468405797101,0.728637681159
97.0,205.41968130861318,2.969947735650119,73.39681784687487,170.287421875,76.79780155521611,0.039182194617,0.669616977226
98.0,205.28165940955006,4.63059189782417,93.13045242751637,192.612890625,83.43836411509749,0.0252415458937,0.720813204509
99.0,222.18254021582877,3.4461382118717303,95.07174635912085,204.311078125,87.82031784687388,0.0301127214171,0.670450885668
100.0,224.4663330743701,2.514128155090001,90.03779857276328,200.42859375,88.53231231486893,0.036231884058,0.7192431562
